PARAMETER_TYPE|PARAMETER_VALUE|CONFIG_TYPE|CONFIG_VALUE|ATTRIBUTE_NAME1|ATTRIBUTE_VALUE1|ACTIVE|DESCRIPTION|ATTRIBUTE_NAME2|ATTRIBUTE_VALUE2|ATTRIBUTE_NAME3|ATTRIBUTE_VALUE3
CALL_CONTENT_MAPPING|US_304528|SAFETY#NR_AXSPA|1521|CONTENT|Safety_NR AxSpA|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|SAFETY#PSA|1522|CONTENT|Safety_PSA - SPIRIT P1 or P2 safety data|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|SAFETY#PSO_ADULTS|1499|CONTENT|Safety_PSO Adults|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|SAFETY#PSO_ADULTS|1523|CONTENT|Safety_PSO Adults - PsO safety data|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|SAFETY#SIDE_EFFECTS|1501|CONTENT|Safety_Side Effects - IBD or ISR data|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|SAFETY#SIDE_EFFECTS|1525|CONTENT|Safety_Side Effects - IBD or ISR data|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CAMPAIGN-PROD MAPPING|LEBRIZIKUMAB|||USA-LEB-AD-RETL-BSE-EHR-02082023|US_708127_420004|Y|Lebri Campaign ID map to Product ID||||
CAMPAIGN-PROD MAPPING|LEBRIZIKUMAB|||USA-LEB-AD-RETL-BSE-LIL-01022023|US_708127_420004|Y|Lebri Campaign ID map to Product ID||||
CAMPAIGN-PROD MAPPING|LEBRIZIKUMAB|||USA-LEB-AD-RETL-BSE-SOA-01022023|US_708127_420004|Y|Lebri Campaign ID map to Product ID||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|ACCESS OR FORMULARY|CONTENT_TYPE_ID|ACCESS_FORMULARY|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|ACCESS/FORMULARY|CONTENT_TYPE_ID|ACCESS_FORMULARY|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|ADHERENCE|CONTENT_TYPE_ID|ADHERENCE|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|ALL|CONTENT_TYPE_ID|NA|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|CORPORATE COMMUNICATION|CONTENT_TYPE_ID|CORPORATE_COMMUNICATION|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|DEVICE|CONTENT_TYPE_ID|DEVICE|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|DIAGNOSTIC|CONTENT_TYPE_ID|DIAGNOSTIC|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|DISEASE STATE|CONTENT_TYPE_ID|DISEASE_STATE|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|DOSING|CONTENT_TYPE_ID|DOSING|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|EASE OF ADMINISTRATION|CONTENT_TYPE_ID|EASE_OF_ADMINISTRATION|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|EFFICACY|CONTENT_TYPE_ID|EFFICACY|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|GENERAL|CONTENT_TYPE_ID|NA|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|GUIDELINES|CONTENT_TYPE_ID|GUIDELINES|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|INITIATION|CONTENT_TYPE_ID|INITIATION|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|MECHANISM OF ACTION|CONTENT_TYPE_ID|MOA|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|MOA|CONTENT_TYPE_ID|MOA|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|N/A|CONTENT_TYPE_ID|NA|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|NA|CONTENT_TYPE_ID|NA|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|OPERATIONAL LOGISTICS|CONTENT_TYPE_ID|OPERATIONAL_LOGISTICS|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|PATIENT AFFORDABILITY|CONTENT_TYPE_ID|PATIENT_AFFORDABILITY|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|PATIENT OR CUSTOMER SUPPORT|CONTENT_TYPE_ID|PATIENT_CUSTOMER_SUPPORT|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|PATIENT TYPE OR IDENTIFICATION|CONTENT_TYPE_ID|PATIENT_TYPE_IDENTIFICATION|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|PATIENT TYPE/IDENTIFICATION|CONTENT_TYPE_ID|PATIENT_TYPE_IDENTIFICATION|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|PATIENT/CUSTOMER SUPPORT|CONTENT_TYPE_ID|PATIENT_CUSTOMER_SUPPORT|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|PRODUCT ATTRIBUTES|CONTENT_TYPE_ID|PRODUCT_ATTRIBUTES|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|REAL WORLD EVIDENCE|CONTENT_TYPE_ID|REAL_WORLD_EVIDENCE|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|RESOURCES|CONTENT_TYPE_ID|RESOURCES|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|SAFETY|CONTENT_TYPE_ID|SAFETY|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|STUDY DESIGN|CONTENT_TYPE_ID|STUDY_DESIGN|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|TREATMENT LANDSCAPES|CONTENT_TYPE_ID|TREATMENT_LANDSCAPE|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|TREATMENT LANDSCAPE|CONTENT_TYPE_ID|TREATMENT_LANDSCAPE|Y|NBA CAP MESSAGE TYPE||||
CAP_MESSAGE_TYPE|CAP|MESSAGE_TYPE|UNMET NEED|CONTENT_TYPE_ID|UNMET_NEED|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|ACCESS OR FORMULARY|CONTENT_TYPE_ID|ACCESS_FORMULARY|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|ACCESS/FORMULARY|CONTENT_TYPE_ID|ACCESS_FORMULARY|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|ADHERENCE|CONTENT_TYPE_ID|ADHERENCE|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|ALL|CONTENT_TYPE_ID|GENERAL|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|DEVICE|CONTENT_TYPE_ID|DEVICE|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|DIAGNOSTIC|CONTENT_TYPE_ID|DIAGNOSTIC|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|DISEASE STATE|CONTENT_TYPE_ID|DISEASE_STATE|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|DOSING|CONTENT_TYPE_ID|DOSING|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EASE OF ADMINISTRATION|CONTENT_TYPE_ID|EASE_OF_ADMINISTRATION|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#COMBINATION THERAPY|CONTENT_TYPE_ID|EFFICACY#COMBINATION_THERAPY|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#COMBINATION_THERAPY|CONTENT_TYPE_ID|EFFICACY#COMBINATION_THERAPY|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#CORE|CONTENT_TYPE_ID|EFFICACY#CORE|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#ENTHESITIS-DACYLITIS|CONTENT_TYPE_ID|EFFICACY#ENTHESITIS_DACYLITIS|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#HEAD TO HEAD|CONTENT_TYPE_ID|EFFICACY#HEAD_TO_HEAD|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#HEAD_TO_HEAD|CONTENT_TYPE_ID|EFFICACY#HEAD_TO_HEAD|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#LONG TERM|CONTENT_TYPE_ID|EFFICACY#LONG_TERM|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#LONG_TERM|CONTENT_TYPE_ID|EFFICACY#LONG_TERM|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#NA|CONTENT_TYPE_ID|EFFICACY#NA|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#NOW APPROVED|CONTENT_TYPE_ID|EFFICACY#NOW APPROVED|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#NOW_APPROVED|CONTENT_TYPE_ID|EFFICACY#NOW_APPROVED|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#PSO - PEDS|CONTENT_TYPE_ID|EFFICACY#PSO_PEDS|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#RAPID ONSET|CONTENT_TYPE_ID|EFFICACY#RAPID_ONSET|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#SECONDARY|CONTENT_TYPE_ID|EFFICACY#SECONDARY|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#SPINAL PAIN AND STIFFNESS|CONTENT_TYPE_ID|EFFICACY#SPINAL_PAIN_AND_STIFFNESS|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#SPINAL_PAIN_AND_STIFFNESS|CONTENT_TYPE_ID|EFFICACY#SPINAL_PAIN_AND_STIFFNESS|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY#STRUCTURE|CONTENT_TYPE_ID|EFFICACY#STRUCTURE|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|EFFICACY|CONTENT_TYPE_ID|EFFICACY|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|GENERAL|CONTENT_TYPE_ID|GENERAL|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|GUIDELINES|CONTENT_TYPE_ID|GUIDELINES|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|INITIATION|CONTENT_TYPE_ID|INITIATION|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|MECHANISM OF ACTION|CONTENT_TYPE_ID|MOA|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|MOA|CONTENT_TYPE_ID|MOA|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|NA|CONTENT_TYPE_ID|GENERAL|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|OPERATIONAL LOGISTICS|CONTENT_TYPE_ID|OPERATIONAL_LOGISTICS|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|PATIENT AFFORDABILITY|CONTENT_TYPE_ID|PATIENT_AFFORDABILITY|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|PATIENT OR CUSTOMER SUPPORT|CONTENT_TYPE_ID|PATIENT_CUSTOMER_SUPPORT|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|PATIENT TYPE OR IDENTIFICATION|CONTENT_TYPE_ID|PATIENT_TYPE_IDENTIFICATION|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|PATIENT TYPE/IDENTIFICATION|CONTENT_TYPE_ID|PATIENT_TYPE_IDENTIFICATION|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|PATIENT/CUSTOMER SUPPORT|CONTENT_TYPE_ID|PATIENT_CUSTOMER_SUPPORT|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|PRODUCT ATTRIBUTES|CONTENT_TYPE_ID|PRODUCT_ATTRIBUTES|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|REAL WORLD EVIDENCE|CONTENT_TYPE_ID|REAL_WORLD_EVIDENCE|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|RESOURCES|CONTENT_TYPE_ID|RESOURCES|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY#AS|CONTENT_TYPE_ID|SAFETY#AS|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY#HEAD TO HEAD|CONTENT_TYPE_ID|SAFETY#HEAD_TO_HEAD|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY#HEAD_TO_HEAD|CONTENT_TYPE_ID|SAFETY#HEAD_TO_HEAD|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY#LONG TERM|CONTENT_TYPE_ID|SAFETY#LONG_TERM|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY#LONG_TERM|CONTENT_TYPE_ID|SAFETY#LONG_TERM|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY#NA|CONTENT_TYPE_ID|GENERAL|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY#NR AXSPA|CONTENT_TYPE_ID|SAFETY#NR_AXSPA|Y|NBA CAP MESSAGE TYPE||||
CAP_ML_CONTENT_CATEGORIES_TALTZ|CAP|MESSAGE_TYPE|SAFETY#NR_AXSPA|CONTENT_TYPE_ID|SAFETY#NR_AXSPA|Y|NBA CAP MESSAGE TYPE||||
