verso_tactic_id|utm_tag|verso_campaign_id|third_party_program_id|subject_line|preheader|link|link_location|data_source_code|delivery_source|delivery_source_type|contact_type|platform|tactic_description|approved_job_id|tactic_expiration_date|tactic_retirement_date|primary_category|secondary_category|percent_population|tactic_start_date|tactic_end_date|offertype|content_tag|franchise|geography|product|disease_state_indication|customer_type|customer_segment|department|campaign_name|execution_path|primary_subcategory|secondary_subcategory|document_status|tactic_resend|content_testing|AEM_Variation_ID|send_type|groups|product_id
DMH_PP-LM-US-1003_7537_01|https://www.reyvow.com/hcp/savings-support?utm_source=SFMC!DMH_PP-LM-US-1003_7537_01&utm_medium=LILLY&utm_campaign=USA-REY-MG-RETL-BSE-DMH-03202023&utm_term=COPAY/SAVING|USA-REY-MG-RETL-BSE-DMH-03202023||Help your eligible patients save on REYVOW® (lasmiditan) C-V||https://www.reyvow.com/hcp/savings-support|TOP|SFMC|LILLY|INTERNAL|HCP INFORMATION|LILLY SFMC|PP-LM-US-1003-Savings Email 2024|PP-LM-US-1003|11-30-2025|11-30-2025|PATIENT AFFORDABILITY|NA||12-13-2023|12-13-2023|COPAY/SAVING|Scroll Down or Click Here|NEUROSCIENCE|USA|REYVOW|MIGRAINE|CONSUMER|NA|RETAIL|Reyvow Migraine Base HQ Email 12082023|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|NA|Primary Send|1.0|320002_864861
DMH_PP-LM-US-1005_7509_01|https://www.reyvow.com/hcp/savings-support?utm_source=AMKT!DMH_PP-LM-US-1005_7509_01&utm_medium=ALERT_MARKETING&utm_campaign=USA-REY-MG-RETL-BSE-DMH-03202023&utm_term=COPAY/SAVING|USA-REY-MG-RETL-BSE-DMH-03202023||Help your eligible patients save on REYVOW® (lasmiditan) C-V||https://www.reyvow.com/hcp/savings-support|TOP|ALERT MARKETING|ALERT MARKETING|CLINICAL EDUCATION|PLATFORM EMAIL|EMAIL|PP-LM-US-1005-PA Support Leave Behind|PP-LM-US-1005|11-30-2025|11-30-2025|PATIENT AFFORDABILITY|PATIENT OR CUSTOMER SUPPORT||03-20-2023|12-31-2023|COPAY/SAVING|SCROOL DOWN OR CLICK HERE|NEUROSCIENCE|USA|REYVOW|MIGRAINE|CONSUMER|NA|RETAIL|Reyvow Migraine Base HQ Email 12082023|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|NA|||320002_864861
EHR_PP-AL-US-1546_5117_01|https://www.verzenio.com/hcp/efficacy?utm_source=RXT!EHR_PP-AL-US-1546_5117_01&utm_medium=RXNT&utm_campaign=USA-VER-EBC-RETL-BSE-EHR-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-EHR-01032023||-||https://www.verzenio.com/hcp/efficacy|NA|RXNT|RXNT|EHR|BANNER ADS|PATIENT CHART|Verzenio HCP MCE C3 Banner_Efficacy static|PP-AL-US-1546|05-31-2023|05-31-2023|EFFICACY|NA||05-01-2023|05-31-2023|BROCHURE/PRESENTATION|Explore Verzenio|ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|NA|RETAIL|Verzenio Breast Cancer- Base EHR 01032023|BSE|NA|NA|EXPIRED|YES|NO|NA|||304521_CAP_864850
EHR_PP-AL-US-1546_5118_01|https://www.verzenio.com/hcp/efficacy?utm_source=DOC!EHR_PP-AL-US-1546_5118_01&utm_medium=DOCEREE&utm_campaign=USA-VER-EBC-RETL-BSE-EHR-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-EHR-01032023||-||https://www.verzenio.com/hcp/efficacy|NA|DOCEREE|DOCEREE|EHR|BANNER ADS|PATIENT CHART|Verzenio HCP MCE C3 Banner_Efficacy static|PP-AL-US-1546|05-31-2023|05-31-2023|EFFICACY|NA||05-01-2023|05-31-2023|BROCHURE/PRESENTATION|Explore Verzenio|ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|NA|RETAIL|Verzenio Breast Cancer- Base EHR 01032023|BSE|NA|NA|EXPIRED|YES|NO|NA|||304521_CAP_864850
EHR_PP-AL-US-2762_3943_01|https://www.verzenio.com/hcp/continuous-care?utm_source=RXT!EHR_PP-AL-US-2762_3943_01&utm_medium=RXNT&utm_campaign=USA-VER-EBC-RETL-BSE-EHR-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-EHR-01032023||n/a||https://www.verzenio.com/hcp/continuous-care|NA|RXNT|RXNT|EHR|BANNER ADS|eRX|Verzenio HCP EHR Banner Ads|PP-AL-US-2762|05-31-2023|05-31-2023|PATIENT AFFORDABILITY|NA||01-19-2023|12-30-2023|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|NA|RETAIL|Verzenio Breast Cancer- Base EHR 01032023|BSE|NA|NA|EXPIRED|YES|NO|NA|Primary Send|1.0|304521_CAP_864850
EHR_PP-AL-US-2762_5119_01|https://www.verzenio.com/hcp/continuous-care?utm_source=RXT!EHR_PP-AL-US-2762_5119_01&utm_medium=RXNT&utm_campaign=USA-VER-EBC-RETL-BSE-EHR-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-EHR-01032023||-||https://www.verzenio.com/hcp/continuous-care|NA|RXNT|RXNT|EHR|BANNER ADS|eRX|Verzenio HCP EHR Banner Ads|PP-AL-US-2762|05-31-2023|05-31-2023|PATIENT AFFORDABILITY|NA||05-01-2023|05-31-2023|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|NA|RETAIL|Verzenio Breast Cancer- Base EHR 01032023|BSE|NA|NA|EXPIRED|YES|NO|NA|||304521_CAP_864850
EHR_PP-AL-US-2762_5120_01|https://www.verzenio.com/hcp/continuous-care?utm_source=DOC!EHR_PP-AL-US-2762_5120_01&utm_medium=DOCEREE&utm_campaign=USA-VER-EBC-RETL-BSE-EHR-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-EHR-01032023||-||https://www.verzenio.com/hcp/continuous-care|NA|DOCEREE|DOCEREE|EHR|BANNER ADS|eRX|Verzenio HCP EHR Banner Ads|PP-AL-US-2762|05-31-2023|05-31-2023|PATIENT AFFORDABILITY|NA||05-01-2023|05-31-2023|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|NA|RETAIL|Verzenio Breast Cancer- Base EHR 01032023|BSE|NA|NA|EXPIRED|YES|NO|NA|||304521_CAP_864850
EHR_PP-AL-US-3480_3944_01|?utm_source=OTX!EHR_PP-AL-US-3480_3944_01&utm_medium=OPTIMIZERX&utm_campaign=USA-VER-EBC-RETL-BSE-EHR-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-EHR-01032023||n/a|||NA|OPTIMIZERX|OPTIMIZERX|EHR|BANNER ADS|PATIENT CHART|Verzenio HCP Perspective Banners|PP-AL-US-3480|08-31-2023|08-31-2023|UNMET NEED|NA||01-19-2023|12-30-2023|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|NA|RETAIL|Verzenio Breast Cancer- Base EHR 01032023|BSE|NA|NA|EXPIRED|YES|NO|NA|Primary Send|1.0|304521_CAP_864850
EHR_PP-AL-US-3480_4141_01|https://www.verzenio.com/hcp?utm_source=DOC!EHR_PP-AL-US-3480_4141_01&utm_medium=DOCEREE&utm_campaign=USA-VER-EBC-RETL-BSE-EHR-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-EHR-01032023||n/a||https://www.verzenio.com/hcp|NA|DOCEREE|DOCEREE|EHR|BANNER ADS|EHR BANNER|Verzenio HCP Perspective Banners|PP-AL-US-3480|08-31-2023|08-31-2023|UNMET NEED|NA||02-03-2023|12-30-2023|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|NA|RETAIL|Verzenio Breast Cancer- Base EHR 01032023|BSE|NA|NA|EXPIRED|YES|NO|NA|Primary Send|1.0|304521_CAP_864850
EHR_PP-AL-US-3544_4501_01|?utm_source=RXT!EHR_PP-AL-US-3544_4501_01&utm_medium=RXNT&utm_campaign=USA-VER-EBC-RETL-BSE-EHR-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-EHR-01032023||N/A|||NA|RXNT|RXNT|EHR|SAVINGS CARD|COPAY CARD|Verzenio Savings Card Downloadable PDF-2023 T&C Update|PP-AL-US-3544|01-25-2024|01-25-2024|PATIENT AFFORDABILITY|RESOURCES||03-09-2023|12-30-2023|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|NA|RETAIL|Verzenio Breast Cancer- Base EHR 01032023|BSE|NA|NA|EXPIRED|YES|NO|NA|Primary Send|1.0|304521_CAP_864850
