verso_tactic_id|utm_tag|verso_campaign_id|third_party_program_id|subject_line|preheader|link|link_location|data_source_code|delivery_source|delivery_source_type|contact_type|platform|tactic_description|approved_job_id|tactic_expiration_date|tactic_retirement_date|primary_category|secondary_category|percent_population|tactic_start_date|tactic_end_date|offertype|content_tag|franchise|geography|product|disease_state_indication|customer_type|customer_segment|department|campaign_name|execution_path|primary_subcategory|secondary_subcategory|document_status|tactic_resend|content_testing|AEM_Variation_ID|send_type|groups|product_id
SOA_PP-AL-US-3871_5747_01|?utm_source=DOX!SOA_PP-AL-US-3871_5747_01&utm_medium=DOXIMITY&utm_campaign=USA-VER-EBC-RETL-BSE-SOA-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-SOA-01032023||Can You Do More to Prevent Recurrence for Patients With High-risk, HR+, EBC?|None||NA|DOXIMITY|DOXIMITY|CLINICAL EDUCATION|VIDEO|DOCSPOT|Verzenio Doximity DocSpot Unmet Need EBC|PP-AL-US-3871|08-31-2025|08-31-2025|UNMET NEED|NA||07-10-2023|12-31-2023|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Breast Cancer- Base SOA 01032023|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|None|||304521_CAP_864850
SOA_PP-AL-US-3871_6171_01|NA?utm_source=DOX!SOA_PP-AL-US-3871_6171_01&utm_medium=DOXIMITY&utm_campaign=USA-VER-EBC-RETL-NBE-SOA-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-SOA-01032023||Can You Do More to Prevent Recurrence for Patients With High-risk, HR+, EBC?||NA|NA|DOXIMITY|DOXIMITY|CLINICAL EDUCATION|VIDEO|DOCSPOT|Verzenio Doximity DocSpot Unmet Need EBC|PP-AL-US-3871|08-31-2025|08-31-2025|UNMET NEED|NA||08-31-2023|12-31-2023|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|NA|RETAIL|Verzenio Breast Cancer- Base SOA 01032023|BSE|NA|NA|APPROVED FOR DISTRIBUTION|NO|NO|NA|||304521_CAP_864850
SOA_PP-AL-US-3871_6664_01|None?utm_source=DOX!SOA_PP-AL-US-3871_6664_01&utm_medium=DOXIMITY&utm_campaign=USA-VER-EBC-RETL-BSE-SOA-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-SOA-01032023||Can You Do More to Prevent Recurrence for Patients With High-risk, HR+, EBC?|None|None|NA|DOXIMITY|DOXIMITY|CLINICAL EDUCATION|VIDEO|DOCSPOT|Verzenio Doximity DocSpot Unmet Need EBC|PP-AL-US-3871|08-31-2025|08-31-2025|UNMET NEED|NA||07-10-2023|12-31-2023|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Breast Cancer- Base SOA 01032023|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|None|||304521_CAP_864850
SOA_PP-AL-US-3871_7583_01|https://www.verzenio.lilly.com/hcp?utm_source=DOX!SOA_PP-AL-US-3871_7583_01&utm_medium=DOXIMITY&utm_campaign=USA-VER-EBC-RETL-NBE-SOA-01012024&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-NBE-SOA-01012024||None|None|https://www.verzenio.lilly.com/hcp|NA|DOXIMITY|DOXIMITY|CLINICAL EDUCATION|VIDEO|DOCSPOT|Verzenio Doximity DocSpot Unmet Need EBC|PP-AL-US-3871|08-31-2025|08-31-2025|UNMET NEED|NA||01-01-2024|06-03-2024|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Early Breast Cancer-NBE SOA 01012024|NBE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|None|||304521_CAP_864850
SOA_PP-AL-US-3872_10950_01|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3872_10950_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-BC-RETL-BSE-SOA-01012025&utm_term=BROCHURE/PRESENTATION|USA-VER-BC-RETL-BSE-SOA-01012025|424030.8|Could your patients be right for this CDK4 & 6i?||https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|ALERT MESSAGE|BRAND ALERT|Verzenio Medscape Brand Alert Target Patient EBC|PP-AL-US-3872|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||03-01-2025|03-31-2025|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER|HCP|CRITICAL;HIGH;MEDIUM;LOW|RETAIL|Verzenio Breast Cancer Base SOA 01012025|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|NA|||304521_864850
SOA_PP-AL-US-3872_5941_01|https://www.verzenio.com/hcp?utm_source=MED!SOA_PP-AL-US-3872_5941_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-NBE-SOA-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-NBE-SOA-01032023|351184.13|Which patients are most appropriate for this CDK4 & 6i?|None|https://www.verzenio.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|ALERT MESSAGE|BRAND ALERT|Verzenio Medscape Brand Alert Target Patient EBC|PP-AL-US-3872|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||07-03-2023|01-16-2024|BROCHURE/PRESENTATION|Find Out More|ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Breast Cancer- NBE SOA 01032023|NBE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|None|||304521_CAP_864850
SOA_PP-AL-US-3872_5942_01|https://www.verzenio.com/hcp?utm_source=MED!SOA_PP-AL-US-3872_5942_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-NBE-SOA-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-NBE-SOA-01032023|351184.13|Important patient identification criteria you should know|None|https://www.verzenio.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|ALERT MESSAGE|BRAND ALERT|Verzenio Medscape Brand Alert Target Patient EBC|PP-AL-US-3872|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||07-03-2023|01-31-2024|BROCHURE/PRESENTATION|Find Out More|ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Breast Cancer- NBE SOA 01032023|NBE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|None|||304521_CAP_864850
SOA_PP-AL-US-3872_7804_01|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3872_7804_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-NBE-SOA-01012024&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-NBE-SOA-01012024|385718.7|Could your patients be right for this CDK4 & 6i?|None|https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|ALERT MESSAGE|BRAND ALERT|Verzenio Medscape Brand Alert Target Patient EBC|PP-AL-US-3872|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||02-20-2024|06-01-2024|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Early Breast Cancer-NBE SOA 01012024|NBE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|None|||304521_CAP_864850
SOA_PP-AL-US-3872_8759_01|https://verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3872_8759_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-BSE-SOA-05012024&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-SOA-05012024|417037.3|Do you know who is eligible for this CDK4 & 6i?||https://verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|ALERT MESSAGE|BRAND ALERT|Verzenio Medscape Brand Alert Target Patient EBC|PP-AL-US-3872|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||07-02-2024|08-29-2024|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Breast Cancer-Base SOA 05012024|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|NA|||304521_CAP_864850
SOA_PP-AL-US-3872_8876_01|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3872_8876_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-BSE-SOA-05012024&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-SOA-05012024|385718.7|Do you know who is eligible for this CDK4 & 6i?|None|https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|ALERT MESSAGE|BRAND ALERT|Verzenio Medscape Brand Alert Target Patient EBC|PP-AL-US-3872|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||06-10-2024|12-10-2024|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Breast Cancer-Base SOA 05012024|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|None|||304521_CAP_864850
