verso_tactic_id|utm_tag|verso_campaign_id|third_party_program_id|subject_line|preheader|link|link_location|data_source_code|delivery_source|delivery_source_type|contact_type|platform|tactic_description|approved_job_id|tactic_expiration_date|tactic_retirement_date|primary_category|secondary_category|percent_population|tactic_start_date|tactic_end_date|offertype|content_tag|franchise|geography|product|disease_state_indication|customer_type|customer_segment|department|campaign_name|execution_path|primary_subcategory|secondary_subcategory|document_status|tactic_resend|content_testing|AEM_Variation_ID|send_type|groups|product_id
SOA_PP-AL-US-3872_9121_01|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3872_9121_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-NBE-SOA-06202024&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-NBE-SOA-06202024|385718.7|Do you know who is eligible for this CDK4 & 6i?|None|https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|ALERT MESSAGE|BRAND ALERT|Verzenio Medscape Brand Alert Target Patient EBC|PP-AL-US-3872|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||06-20-2024|01-31-2025|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Early Breast Cancer - NBE SOA 06202024|NBE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|None|||304521_CAP_864850
SOA_PP-AL-US-3874_10031_01|www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_10031_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-BSE-SOA-01012024&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-BSE-SOA-01012024|408844.1_IEA|Do you know who is eligible for this CDK4 & 6i?|None|www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|BRAND STORY - RECONTACT|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||10-21-2024|12-31-2024|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Breast Cancer-Base SOA 01012024|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|None|||304521_CAP_864850
SOA_PP-AL-US-3874_10955_01|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_10955_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-BC-RETL-BSE-SOA-01012025&utm_term=BROCHURE/PRESENTATION|USA-VER-BC-RETL-BSE-SOA-01012025|424030.9|Could your patients be eligible for this CDK4 and 6i?||https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|EMAIL|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||03-01-2025|03-31-2025|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER|HCP|CRITICAL;HIGH;MEDIUM;LOW|RETAIL|Verzenio Breast Cancer Base SOA 01012025|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|NA|||304521_864850
SOA_PP-AL-US-3874_10955_02|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_10955_02&utm_medium=MEDSCAPE&utm_campaign=USA-VER-BC-RETL-BSE-SOA-01012025&utm_term=BROCHURE/PRESENTATION|USA-VER-BC-RETL-BSE-SOA-01012025|424030.12|Do you know who is eligible for this CDK4 & 6i?||https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|EMAIL|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||03-01-2025|03-31-2025|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER|HCP|CRITICAL;HIGH;MEDIUM;LOW|RETAIL|Verzenio Breast Cancer Base SOA 01012025|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|NA|||304521_864850
SOA_PP-AL-US-3874_10960_01|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_10960_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-BC-RETL-BSE-SOA-01012025&utm_term=BROCHURE/PRESENTATION|USA-VER-BC-RETL-BSE-SOA-01012025|424030.8_IEA|Review patient eligibility for this CDK4 & 6i||https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|BRAND ALERT - RECONTACT|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||03-01-2025|03-31-2025|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER|HCP|CRITICAL;HIGH;MEDIUM;LOW|RETAIL|Verzenio Breast Cancer Base SOA 01012025|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|NA|||304521_864850
SOA_PP-AL-US-3874_10960_02|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_10960_02&utm_medium=MEDSCAPE&utm_campaign=USA-VER-BC-RETL-BSE-SOA-01012025&utm_term=BROCHURE/PRESENTATION|USA-VER-BC-RETL-BSE-SOA-01012025||Could your patients be eligible for this CDK4 & 6i?||https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|BRAND ALERT - RECONTACT|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||01-01-2025|08-29-2025|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER|HCP|CRITICAL;HIGH;MEDIUM;LOW|RETAIL|Verzenio Breast Cancer Base SOA 01012025|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|NA|||304521_864850
SOA_PP-AL-US-3874_10965_01|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_10965_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-BC-RETL-BSE-SOA-01012025&utm_term=BROCHURE/PRESENTATION|USA-VER-BC-RETL-BSE-SOA-01012025|424030.10|Which patients are most appropriate for this CDK4 & 6I?||https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|EMAIL|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||03-01-2025|08-30-2025|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER|HCP|CRITICAL;HIGH;MEDIUM;LOW|RETAIL|Verzenio Breast Cancer Base SOA 01012025|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|NA|||304521_864850
SOA_PP-AL-US-3874_10965_02|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_10965_02&utm_medium=MEDSCAPE&utm_campaign=USA-VER-BC-RETL-BSE-SOA-01012025&utm_term=BROCHURE/PRESENTATION|USA-VER-BC-RETL-BSE-SOA-01012025||Important patient identification criteria you should know||https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|EMAIL|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||01-01-2025|08-30-2025|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER|HCP|CRITICAL;HIGH;MEDIUM;LOW|RETAIL|Verzenio Breast Cancer Base SOA 01012025|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|NA|||304521_864850
SOA_PP-AL-US-3874_10970_01|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_10970_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-BC-RETL-BSE-SOA-01012025&utm_term=BROCHURE/PRESENTATION|USA-VER-BC-RETL-BSE-SOA-01012025|424030.57_IEA|None||https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|POINT OF CONTACT - RECONTACT|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||02-01-2025|12-31-2025|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER|HCP|CRITICAL;HIGH;MEDIUM;LOW|RETAIL|Verzenio Breast Cancer Base SOA 01012025|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|NA|||304521_864850
SOA_PP-AL-US-3874_10972_01|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_10972_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-BC-RETL-BSE-SOA-01012025&utm_term=BROCHURE/PRESENTATION|USA-VER-BC-RETL-BSE-SOA-01012025|424030.56_IEA|None||https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|BRANDSPOT - RECONTACT|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||02-01-2025|12-31-2025|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER|HCP|CRITICAL;HIGH;MEDIUM;LOW|RETAIL|Verzenio Breast Cancer Base SOA 01012025|BSE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|NA|||304521_864850
SOA_PP-AL-US-3874_6035_01|https://www.verzenio.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_6035_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-NBE-SOA-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-NBE-SOA-01032023|351184.34|Could your patients be eligible for this CDK4 and 6i?||https://www.verzenio.com/hcp|MIDDLE|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|EMAIL|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||08-31-2023|01-31-2024|BROCHURE/PRESENTATION|Find out more|ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW|RETAIL|Verzenio Breast Cancer- NBE SOA 01032023|NBE|NA|NA|APPROVED FOR DISTRIBUTION|NO|NO|NA|||304521_CAP_864850
SOA_PP-AL-US-3874_6036_01|https://www.verzenio.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_6036_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-NBE-SOA-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-NBE-SOA-01032023|351184.34|Review patient eligibility for this CDK4 & 6i||https://www.verzenio.com/hcp|MIDDLE|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|EMAIL|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||08-31-2023|12-18-2023|BROCHURE/PRESENTATION|Find out more|ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW|RETAIL|Verzenio Breast Cancer- NBE SOA 01032023|NBE|NA|NA|APPROVED FOR DISTRIBUTION|NO|NO|NA|||304521_CAP_864850
SOA_PP-AL-US-3874_6886_01|https://www.verzenio.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_6886_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-NBE-SOA-01032023&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-NBE-SOA-01032023|351184.40|Could your patients be eligible for this CDK4 and 6i?||https://www.verzenio.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|EMAIL|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||10-23-2023|01-31-2024|BROCHURE/PRESENTATION|Find out more|ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Breast Cancer- NBE SOA 01032023|NBE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|NA|||304521_CAP_864850
SOA_PP-AL-US-3874_7773_01|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_7773_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-NBE-SOA-01012024&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-NBE-SOA-01012024|385718.12|Could your patients be eligible for this CDK4 & 6i?|None|https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|EMAIL|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||02-01-2024|06-03-2024|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Early Breast Cancer-NBE SOA 01012024|NBE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|None|||304521_CAP_864850
SOA_PP-AL-US-3874_7774_01|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_7774_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-NBE-SOA-01012024&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-NBE-SOA-01012024|385718.13|Which patients are most appropriate for this CDK4 & 6i?|None|https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|EMAIL|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||02-01-2024|06-03-2024|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Early Breast Cancer-NBE SOA 01012024|NBE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|None|||304521_CAP_864850
SOA_PP-AL-US-3874_7777_01|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_7777_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-NBE-SOA-01012024&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-NBE-SOA-01012024|385718.20|Do you know who is eligible for this CDK4 & 6i?|None|https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|EMAIL|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||02-01-2024|06-03-2024|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Early Breast Cancer-NBE SOA 01012024|NBE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|None|||304521_CAP_864850
SOA_PP-AL-US-3874_7778_01|https://www.verzenio.lilly.com/hcp?utm_source=MED!SOA_PP-AL-US-3874_7778_01&utm_medium=MEDSCAPE&utm_campaign=USA-VER-EBC-RETL-NBE-SOA-01012024&utm_term=BROCHURE/PRESENTATION|USA-VER-EBC-RETL-NBE-SOA-01012024|385718.16|Review patient eligibility for this CDK4 & 6i|None|https://www.verzenio.lilly.com/hcp|NA|MEDSCAPE|MEDSCAPE|CLINICAL EDUCATION|PLATFORM EMAIL|EMAIL|Verzenio Medscape Email Target Patient EBC|PP-AL-US-3874|08-31-2025|08-31-2025|PATIENT TYPE OR IDENTIFICATION|NA||02-01-2024|06-03-2024|BROCHURE/PRESENTATION||ONCOLOGY|USA|VERZENIO|BREAST CANCER - EARLY|HCP|CRITICAL;HIGH;MEDIUM;LOW;NONSF|RETAIL|Verzenio Early Breast Cancer-NBE SOA 01012024|NBE|NA|NA|APPROVED FOR DISTRIBUTION|YES|NO|None|||304521_CAP_864850
