Product,brand_indication,Segment,Dimension,Dimension_Value,Min,Max,Active
TRU,TRU,Low,Dimension2,TREATMENT_LANDSCAPE,1,70,Y
TRU,TRU,Low,Dimension2,RESOURCES,1,70,Y
TRU,TRU,Low,Dimension2,PRODUCT_ATTRIBUTES,1,70,Y
TRU,TRU,Low,Dimension2,MOA,1,70,Y
TRU,TRU,Unknown,Dimension2,EFFICACY,1,70,Y
TRU,TRU,Unknown,Dimension2,PATIENT_TYPE_IDENTIFICATION,1,70,Y
TRU,TRU,Unknown,Dimension2,ACCESS_FORMULARY,1,70,Y
TRU,TRU,Unknown,Dimension2,GENERAL,1,70,Y
TRU,TRU,Unknown,Dimension2,DOSING,1,70,Y
TRU,TRU,Unknown,Dimension2,TREATMENT_LANDSCAPE,1,70,Y
TRU,TRU,Unknown,Dimension2,RESOURCES,1,70,Y
TRU,TRU,Unknown,Dimension2,PRODUCT_ATTRIBUTES,1,70,Y
TRU,TRU,Unknown,Dimension2,MOA,1,70,Y
VER_MBC,VER_MBC,H,Dimension2,PATIENT_TYPE_IDENTIFICATION,1,50,Y
VER_MBC,VER_MBC,H,Dimension2,EFFICACY,1,50,Y
VER_MBC,VER_MBC,H,Dimension2,RESOURCES,1,50,Y
VER_MBC,VER_MBC,H,Dimension2,DOSING,1,50,Y
VER_MBC,VER_MBC,H,Dimension2,ACCESS_FORMULARY,1,50,Y
VER_MBC,VER_MBC,H,Dimension2,SIDE_EFFECT_MANAGEMENT,1,50,Y
VER_MBC,VER_MBC,H,Dimension2,GENERAL,1,50,Y
VER_MBC,VER_MBC,H,Dimension2,PRODUCT_ATTRIBUTES,1,50,Y
VER_MBC,VER_MBC,M,Dimension2,PATIENT_TYPE_IDENTIFICATION,1,50,Y
VER_MBC,VER_MBC,M,Dimension2,EFFICACY,1,50,Y
VER_MBC,VER_MBC,M,Dimension2,RESOURCES,1,50,Y
VER_MBC,VER_MBC,M,Dimension2,DOSING,1,50,Y
VER_MBC,VER_MBC,M,Dimension2,ACCESS_FORMULARY,1,50,Y
VER_MBC,VER_MBC,M,Dimension2,SIDE_EFFECT_MANAGEMENT,1,50,Y
VER_MBC,VER_MBC,M,Dimension2,GENERAL,1,50,Y
VER_MBC,VER_MBC,M,Dimension2,PRODUCT_ATTRIBUTES,1,50,Y
VER_MBC,VER_MBC,L,Dimension2,PATIENT_TYPE_IDENTIFICATION,1,50,Y
VER_MBC,VER_MBC,L,Dimension2,EFFICACY,1,50,Y
VER_MBC,VER_MBC,L,Dimension2,RESOURCES,1,50,Y
VER_MBC,VER_MBC,L,Dimension2,DOSING,1,50,Y
VER_MBC,VER_MBC,L,Dimension2,ACCESS_FORMULARY,1,50,Y
VER_MBC,VER_MBC,L,Dimension2,SIDE_EFFECT_MANAGEMENT,1,50,Y
VER_MBC,VER_MBC,L,Dimension2,GENERAL,1,50,Y
VER_MBC,VER_MBC,L,Dimension2,PRODUCT_ATTRIBUTES,1,50,Y
VER_MBC,VER_MBC,0,Dimension2,PATIENT_TYPE_IDENTIFICATION,1,50,Y
VER_MBC,VER_MBC,0,Dimension2,EFFICACY,1,50,Y
VER_MBC,VER_MBC,0,Dimension2,RESOURCES,1,50,Y
VER_MBC,VER_MBC,0,Dimension2,DOSING,1,50,Y
VER_MBC,VER_MBC,0,Dimension2,ACCESS_FORMULARY,1,50,Y
VER_MBC,VER_MBC,0,Dimension2,SIDE_EFFECT_MANAGEMENT,1,50,Y
VER_MBC,VER_MBC,0,Dimension2,GENERAL,1,50,Y
VER_MBC,VER_MBC,0,Dimension2,PRODUCT_ATTRIBUTES,1,50,Y
US_304528,DERM,TIER_2,Dimension2,SAFETY,1,65,Y
US_304486,US_304486,TIER_2,Dimension2,PATIENT_CUSTOMER_SUPPORT,1,60,Y
US_304486,US_304486,TIER_3,Dimension1,VEEVA_EMAIL,4,12,Y
US_304486,US_304486,TIER_1,Dimension1,MEDSCAPE_ALERT,4,8,Y
US_304486,US_304486,TIER_2,Dimension2,STUDY_DESIGN,1,60,Y
US_304528,RHEUM,TIER_5,Dimension2,DIAGNOSTIC,1,48,Y
US_304528,RHEUM,TIER_3,Dimension2,ACCESS_FORMULARY,1,54,Y
US_304528,RHEUM,TIER_3,Dimension2,INITIATION,1,54,Y
US_304528,RHEUM,TIER_4,Dimension2,REAL_WORLD_EVIDENCE,1,48,Y
US_304528,RHEUM,TIER_4,Dimension2,MOA,1,48,Y
US_304486,US_304486,TIER_2,Dimension2,GENERAL,1,60,Y
US_304528,DERM,TIER_3,Dimension2,EASE_OF_ADMINISTRATION,1,59,Y
US_304528,RHEUM,TIER_3,Dimension1,EPOCRATES_QUIZ,0,0,Y
US_304528,DERM,TIER_1,Dimension2,DIAGNOSTIC,1,71,Y
US_304528,DERM,TIER_2,Dimension2,TREATMENT_LANDSCAPE,1,65,Y
US_304528,DERM,TIER_2,Dimension2,PRODUCT_ATTRIBUTES,1,65,Y
US_304528,DERM,TIER_3,Dimension1,F2F_CALL,0,12,Y
US_304486,US_304486,TIER_5,Dimension2,PATIENT_CUSTOMER_SUPPORT,1,60,Y
US_304528,RHEUM,TIER_5,Dimension2,INITIATION,1,48,Y
US_304528,RHEUM,TIER_5,Dimension2,DISEASE_STATE,1,48,Y
US_304528,DERM,UNKNOWN,Dimension2,TREATMENT_LANDSCAPE,0,0,Y
US_304486,US_304486,TIER_2,Dimension2,SAFETY,1,60,Y
US_304486,US_304486,TIER_3,Dimension2,GENERAL,1,60,Y
US_304486,US_304486,TIER_4,Dimension1,MEDSCAPE_EMAIL,2,6,Y
US_304486,US_304486,TIER_3,Dimension2,GUIDELINES,1,60,Y
US_304486,US_304486,TIER_4,Dimension2,MOA,1,60,Y
US_304528,DERM,TIER_4,Dimension1,P2P,0,0,Y
US_304486,US_304486,TIER_1,Dimension2,DIAGNOSTIC,1,60,Y
US_304528,DERM,UNKNOWN,Dimension2,GUIDELINES,0,0,Y
US_304486,US_304486,TIER_4,Dimension1,F2F_CALL,0,6,Y
US_304528,RHEUM,TIER_2,Dimension2,TREATMENT_LANDSCAPE,1,60,Y
US_304486,US_304486,TIER_2,Dimension2,MOA,1,60,Y
US_304486,US_304486,NON_TARGET,Dimension1,MEDSCAPE_EMAIL,2,6,Y
US_304528,DERM,TIER_5,Dimension1,F2F_CALL,0,6,Y
US_304486,US_304486,TIER_1,Dimension2,PATIENT_CUSTOMER_SUPPORT,1,60,Y
US_304528,DERM,TIER_1,Dimension1,F2F_CALL,0,24,Y
US_304528,RHEUM,TIER_1,Dimension2,PATIENT_TYPE_IDENTIFICATION,1,66,Y
US_304528,RHEUM,TIER_2,Dimension2,GUIDELINES,1,60,Y
US_304528,RHEUM,TIER_2,Dimension2,STUDY_DESIGN,1,60,Y
US_304528,DERM,TIER_1,Dimension2,RESOURCES,1,71,Y
US_304528,DERM,TIER_2,Dimension2,PATIENT_CUSTOMER_SUPPORT,1,65,Y
US_304486,US_304486,TIER_5,Dimension1,F2F_CALL,0,6,Y
US_304486,US_304486,TIER_1,Dimension2,REAL_WORLD_EVIDENCE,1,60,Y
US_304528,DERM,TIER_3,Dimension2,RESOURCES,1,59,Y
US_304486,US_304486,TIER_3,Dimension2,PATIENT_TYPE_IDENTIFICATION,1,60,Y
US_304528,DERM,UNKNOWN,Dimension1,EPOCRATES_QUIZ,0,0,Y
US_304528,DERM,TIER_5,Dimension2,TREATMENT_LANDSCAPE,1,53,Y
US_304486,US_304486,TIER_3,Dimension2,OPERATIONAL_LOGISTICS,1,60,Y
US_304528,RHEUM,TIER_1,Dimension2,EFFICACY,1,66,Y
US_304528,DERM,TIER_2,Dimension2,GUIDELINES,1,65,Y
US_304528,RHEUM,TIER_3,Dimension1,VEEVA_EMAIL,0,11,Y
US_304528,RHEUM,TIER_1,Dimension2,GENERAL,1,66,Y
US_304528,DERM,TIER_1,Dimension2,REAL_WORLD_EVIDENCE,1,71,Y
US_304486,US_304486,TIER_4,Dimension2,GUIDELINES,1,60,Y
US_304486,US_304486,TIER_4,Dimension1,P2P,0,0,Y
US_304528,RHEUM,TIER_5,Dimension1,DOXIMITY_ALERT,0,6,Y
US_304528,RHEUM,UNKNOWN,Dimension2,DOSING,0,0,Y
US_304528,RHEUM,UNKNOWN,Dimension2,OPERATIONAL_LOGISTICS,0,0,Y
US_304528,DERM,TIER_1,Dimension2,TREATMENT_LANDSCAPE,1,71,Y
US_304528,RHEUM,TIER_3,Dimension1,MEDSCAPE_ALERT,0,8,Y
US_304528,DERM,TIER_1,Dimension2,INITIATION,1,71,Y
US_304528,DERM,TIER_4,Dimension2,DISEASE_STATE,1,53,Y
US_304528,DERM,TIER_2,Dimension2,STUDY_DESIGN,1,65,Y
US_304486,US_304486,TIER_1,Dimension2,INITIATION,1,60,Y
US_304528,DERM,TIER_2,Dimension2,PATIENT_TYPE_IDENTIFICATION,1,65,Y
US_304486,US_304486,TIER_1,Dimension2,OPERATIONAL_LOGISTICS,1,60,Y
US_304528,DERM,TIER_3,Dimension1,HQ_EMAIL,0,0,Y
US_304528,DERM,TIER_4,Dimension2,EASE_OF_ADMINISTRATION,1,53,Y
US_304486,US_304486,TIER_4,Dimension2,ACCESS_FORMULARY,1,60,Y
US_304486,US_304486,TIER_3,Dimension2,DIAGNOSTIC,1,60,Y
US_304528,DERM,UNKNOWN,Dimension1,EPOCRATES_ALERT,0,0,Y
US_304528,RHEUM,TIER_2,Dimension2,RESOURCES,1,60,Y
US_304486,US_304486,TIER_5,Dimension1,DOXIMITY_ALERT,4,8,Y
US_304486,US_304486,TIER_2,Dimension2,DIAGNOSTIC,1,60,Y
US_304528,RHEUM,UNKNOWN,Dimension2,REAL_WORLD_EVIDENCE,0,0,Y
US_304528,RHEUM,UNKNOWN,Dimension2,TREATMENT_LANDSCAPE,0,0,Y
US_304528,RHEUM,UNKNOWN,Dimension1,MEDSCAPE_EMAIL,0,0,Y
US_304486,US_304486,NON_TARGET,Dimension1,MEDSCAPE_ALERT,4,8,Y
US_304486,US_304486,TIER_1,Dimension2,RESOURCES,1,60,Y
US_304528,RHEUM,UNKNOWN,Dimension2,EFFICACY,0,0,Y
US_304528,RHEUM,TIER_4,Dimension1,VEEVA_EMAIL,0,11,Y
US_304528,RHEUM,TIER_4,Dimension1,F2F_CALL,0,6,Y
US_304528,RHEUM,TIER_5,Dimension2,GENERAL,1,48,Y
US_304528,DERM,UNKNOWN,Dimension2,EASE_OF_ADMINISTRATION,0,0,Y
US_304528,DERM,TIER_1,Dimension1,P2P,0,0,Y
US_304528,RHEUM,TIER_2,Dimension1,EPOCRATES_QUIZ,0,0,Y
