Product|brand_indication|segment|speciality|affinity_segment|affinity_type|Dimension_type|Dimension_Value|Min_Allowed|Max_Allowed|Active
US_304486|US_304486|Low|SPEC|M|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|SPEC|L|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|SPEC|VL|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|SPEC|NA|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|PCP|VH|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|PCP|H|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|PCP|M|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|PCP|L|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|PCP|VL|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|PCP|NA|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|BOTH|VH|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|BOTH|H|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|BOTH|M|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|BOTH|L|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|BOTH|VL|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Low|BOTH|NA|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|VH|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|H|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|M|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|L|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|VL|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|SPEC|NA|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|PCP|VH|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|PCP|H|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|PCP|M|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|PCP|L|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|PCP|VL|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|PCP|NA|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|BOTH|VH|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|BOTH|H|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Non-Targets|BOTH|M|CALL|DIMENSION_1|F2F_CALL|0|0|Y
