Product|brand_indication|segment|affinity_segment|affinity_type|Dimension_type|Dimension_Value|Min_Allowed|Max_Allowed|Active|Edited/added
US_304528|DERM|NON_TARGET|VL|DPH|DIMENSION_1|HQ_EMAIL|0|3|Y|
US_304528|DERM|Critical|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|1|14|Y|
US_304528|DERM|Critical|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|7|Y|
US_304528|DERM|Critical|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|1|11|Y|
US_304528|DERM|Critical|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y|
US_304528|DERM|Critical|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|1|18|Y|
US_304528|DERM|Critical|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y|
US_304528|DERM|High|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|1|14|Y|
US_304528|DERM|High|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|7|Y|
US_304528|DERM|High|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|1|11|Y|
US_304528|DERM|High|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y|
US_304528|DERM|High|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|1|18|Y|
US_304528|DERM|High|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y|
US_304528|DERM|Low|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|14|Y|
US_304528|DERM|Low|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|7|Y|
US_304528|DERM|Low|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|11|Y|
US_304528|DERM|Low|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y|
US_304528|DERM|Low|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|18|Y|
US_304528|DERM|Low|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y|
US_304528|DERM|Medium|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|14|Y|
US_304528|DERM|Medium|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|7|Y|
US_304528|DERM|Medium|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|11|Y|
US_304528|DERM|Medium|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y|
US_304528|DERM|Medium|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|18|Y|
US_304528|DERM|Medium|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y|
US_304528|DERM|NON_TARGET|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y|
US_304528|DERM|NON_TARGET|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y|
US_304528|DERM|NON_TARGET|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y|
US_304528|DERM|NON_TARGET|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y|
US_304528|DERM|NON_TARGET|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y|
US_304528|DERM|NON_TARGET|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|0|Y|
US_304528|DERM|Critical|H|DPH|DIMENSION_1|MEDSCAPE_EMAIL|1|10|Y|
US_304528|DERM|Critical|L|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|5|Y|
US_304528|DERM|Critical|M|DPH|DIMENSION_1|MEDSCAPE_EMAIL|1|7|Y|
US_304528|DERM|Critical|NA|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|2|Y|
US_304528|DERM|Critical|VH|DPH|DIMENSION_1|MEDSCAPE_EMAIL|1|12|Y|
US_304528|DERM|Critical|VL|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|2|Y|
US_304528|DERM|High|H|DPH|DIMENSION_1|MEDSCAPE_EMAIL|1|10|Y|
US_304528|DERM|High|L|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|5|Y|
US_304528|DERM|High|M|DPH|DIMENSION_1|MEDSCAPE_EMAIL|1|7|Y|
US_304528|DERM|High|NA|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|2|Y|
US_304528|DERM|High|VH|DPH|DIMENSION_1|MEDSCAPE_EMAIL|1|12|Y|
US_304528|DERM|High|VL|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|2|Y|
US_304528|DERM|Low|H|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|10|Y|
US_304528|DERM|Low|L|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|5|Y|
US_304528|DERM|Low|M|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|7|Y|
US_304528|DERM|Low|NA|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|2|Y|
US_304528|DERM|Low|VH|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|12|Y|
US_304528|DERM|Low|VL|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|2|Y|
US_304528|DERM|Medium|H|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|10|Y|
US_304528|DERM|Medium|L|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|5|Y|
US_304528|DERM|Medium|M|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|7|Y|
US_304528|DERM|Medium|NA|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|2|Y|
US_304528|DERM|Medium|VH|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|12|Y|
US_304528|DERM|Medium|VL|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|2|Y|
US_304528|DERM|NON_TARGET|H|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|0|Y|
US_304528|DERM|NON_TARGET|L|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|0|Y|
US_304528|DERM|NON_TARGET|M|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|0|Y|
US_304528|DERM|NON_TARGET|NA|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|0|Y|
US_304528|DERM|NON_TARGET|VH|DPH|DIMENSION_1|MEDSCAPE_EMAIL|0|0|Y|
