metric_sk,sugg_key,sugg_name,salesforce_id,suggestion_type,frequency,FRAGMENT_ID,FRAGMENT_ORDER,Insight_type,Cloud_Tag_1,Cloud_Tag_2,Cloud_Tag_3,Insight_Metric_1,Insight_Metric_2,Insight_Metric_3
8237f0578494414595b26749c0225f60,ZEP_CWM_03 | B - Signal when Lilly product was newly prescribed,ZEP_CWM_03 ,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,ZEP_CWM_INJ_AOM_NBRX_SOM_13W,,
50ed829ea72e4085bcbca9d68245302f,ZEP_CWM_04 | F - Signal when HCP has switched to Lilly product from certain competitor product many times,ZEP_CWM_04 ,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
50ed829ea72e4085bcbca9d68245302f,ZEP_CWM_04 | F - Signal when HCP has switched to Lilly product from certain competitor product many times,ZEP_CWM_04 ,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
50ed829ea72e4085bcbca9d68245302f,ZEP_CWM_04 | F - Signal when HCP has switched to Lilly product from certain competitor product many times,ZEP_CWM_04 ,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
fac58ee479cc4765be27752bff01e50a,ZEP_CWM_05 | J - Signal when HCP switched the drug to competitor product rather than Lilly product,ZEP_CWM_05 ,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
fac58ee479cc4765be27752bff01e50a,ZEP_CWM_05 | J - Signal when HCP switched the drug to competitor product rather than Lilly product,ZEP_CWM_05 ,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
fac58ee479cc4765be27752bff01e50a,ZEP_CWM_05 | J - Signal when HCP switched the drug to competitor product rather than Lilly product,ZEP_CWM_05 ,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
2cd26be0bf0f45f9a83a46362cef70be,ZEP_CWM_06 | N - Signal when there was insurance coverage rejection with Lilly product or with same drug class,ZEP_CWM_06 ,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
2cd26be0bf0f45f9a83a46362cef70be,ZEP_CWM_06 | N - Signal when there was insurance coverage rejection with Lilly product or with same drug class,ZEP_CWM_06 ,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
2cd26be0bf0f45f9a83a46362cef70be,ZEP_CWM_06 | N - Signal when there was insurance coverage rejection with Lilly product or with same drug class,ZEP_CWM_06 ,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
b307d999a9544ab08a52ea691bf7088f,ZEP_CWM_07 | Others - Not on Playbook,ZEP_CWM_07 ,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
b307d999a9544ab08a52ea691bf7088f,ZEP_CWM_07 | Others - Not on Playbook,ZEP_CWM_07 ,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
b307d999a9544ab08a52ea691bf7088f,ZEP_CWM_07 | Others - Not on Playbook,ZEP_CWM_07 ,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
cf83f7de85f042b2911c431add016a6a,ZEP_CWM_08 | M - Signal when significant # of patients gained access to Lilly product,ZEP_CWM_08 ,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
cf83f7de85f042b2911c431add016a6a,ZEP_CWM_08 | M - Signal when significant # of patients gained access to Lilly product,ZEP_CWM_08 ,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
cf83f7de85f042b2911c431add016a6a,ZEP_CWM_08 | M - Signal when significant # of patients gained access to Lilly product,ZEP_CWM_08 ,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
cc86dae0e01a451b8bd77d1956987951,ZEP_CWM_09 | L - Signal when there are patients on certain insurance coverage using competitor product (where Lilly should have advantage),ZEP_CWM_09 ,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
cc86dae0e01a451b8bd77d1956987951,ZEP_CWM_09 | L - Signal when there are patients on certain insurance coverage using competitor product (where Lilly should have advantage),ZEP_CWM_09 ,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
