SOURCE_NAME|SOURCE_PRODUCT_NAME|TARGET_NAME|TARGET_PRODUCT_NAME|ATTRIBUTE_NAME1|ATTRIBUTE_VALUE1|BUSINESS_UNIT|ACTIVE
FIA_METRICS|ZEPBOUND|PROD|US_708122|||LDO|Y
FIA_METRICS|ZEPBOUND CWM|PROD_IND_SK|US_708122_723224|||LDO|Y
FIA_METRICS|JAYPIRCA|PROD|US_708086|||OBU|Y
FIA_METRICS|VERZENIO|PROD|US_304521|||OBU|Y
FIA_SYNC_INDICATION|PSORIASIS|ZS|DS150|PROD_SK||BMBU_IMM|Y
FIA_SYNC_INDICATION|PSORIATIC ARTHRITIS|ZS|DS152|PROD_SK||BMBU_IMM|Y
FIA_SYNC_PRODUCTS|a000f00000YAds7AAD|ZS|TALTZ PSA|PROD_SK|US_304528_DS152|BMBU_IMM|Y
FIA_SYNC_PRODUCTS|a000f00000YAds7AAD|ZS|TALTZ PSO|PROD_SK|US_304528_DS150|BMBU_IMM|Y
FIA_SYNC_PRODUCTS|a004R00000pB5hNQAS|ZS|MOUNJARO|PROD_SK|US_613009_DS057|LDO|Y
FIA_SYNC_PRODUCTS|a000f00000YAdsDAAT|ZS|VERZENIO|PROD_SK|US_304521|OBU|Y
FIA_SYNC_PRODUCTS|a004R00000oZS7YQAW|ZS|JAYPIRCA|PROD_SK|US_708086|OBU|Y
FIA_SYNC_PRODUCTS|NA|ZS|JAYPIRCA CLL|PROD_SK|US_708086_430015|OBU|Y
FIA_SYNC_PRODUCTS|NA|ZS|JAYPIRCA MCL|PROD_SK|US_708086_708087|OBU|Y
FIA_SYNC_PRODUCTS|NA|ZS|VERZENIO EBC|PROD_SK|US_304521_558393|OBU|Y
FIA_SYNC_PRODUCTS|NA|ZS|VERZENIO MBC|PROD_SK|US_304521_DS162|OBU|Y
P2P_ACTIVITY_FI|MOUNJARO|ZS|MOUNJARO T2D|PROD_SK|US_613009_DS057|LDO|Y
P2P_ACTIVITY_FI|TALTZ - DERMATOLOGY|ZS|TALTZ PSORIASIS|PROD_SK|US_304528_DS150|BMBU_IMM|Y
P2P_ACTIVITY_FI|TALTZ - RHEUMATOLOGY|ZS|TALTZ PSORIATIC ARTHRITIS|PROD_SK|US_304528_DS152|BMBU_IMM|Y
P2P_ACTIVITY_FI|JAYPIRCA|ZS|JAYPIRCA|PROD_SK|US_708086|OBU|Y
P2P_ACTIVITY_FI|VERZENIO BREAST|ZS|VERZENIO|PROD_SK|US_304521|OBU|Y
SOA_ACTIVITY_FI|MOUNJARO|ZS|TYPE 2 DIABETES|PROD_SK|US_613009_DS057|LDO|Y
SOA_ACTIVITY_FI|TALTZ|ZS|PSORIASIS|PROD_SK|US_304528_DS150|BMBU_IMM|Y
SOA_ACTIVITY_FI|TALTZ|ZS|PSORIATIC ARTHRITIS|PROD_SK|US_304528_DS152|BMBU_IMM|Y
SOA_ACTIVITY_FI|ZEPBOUND|ZS|CHRONIC WEIGHT MANAGEMENT|PROD_SK|US_708122_723224|LDO|Y
SOA_ACTIVITY_FI|JAYPIRCA|ZS|CHRONIC LYMPHOCYTIC LEUKEMIA|PROD_SK|US_708086_430015|OBU|Y
SOA_ACTIVITY_FI|JAYPIRCA|ZS|MANTLE CELL LYMPHOMA|PROD_SK|US_708086_708087|OBU|Y
SOA_ACTIVITY_FI|VERZENIO|ZS|BREAST CANCER - EARLY|PROD_SK|US_304521_558393|OBU|Y
SOA_ACTIVITY_FI|VERZENIO|ZS|BREAST CANCER - METASTATIC|PROD_SK|US_304521_DS162|OBU|Y
SUGG_ENGAGEMENT|US_304521|ZS|VERZENIO|PROD_SK|US_304521|OBU|Y
SUGG_ENGAGEMENT|US_304528_DS150|ZS|TALTZ PSO|PROD_IND_SK|US_304528_DS150|BMBU_IMM|Y
SUGG_ENGAGEMENT|US_304528_DS152|ZS|TALTZ PSA|PROD_IND_SK|US_304528_DS152|BMBU_IMM|Y
SUGG_ENGAGEMENT|US_613009_DS057|ZS|MOUNJARO|PROD_IND_SK|US_613009_DS057|LDO|Y
SUGG_ENGAGEMENT|US_708086|ZS|JAYPIRCA|PROD_SK|US_708086|OBU|Y
VEEVA|US_613009_DS057|ZS|MOUNJARO|PROD_SK|US_613009_DS057|LDO|Y
P2P_ACTIVITY_FI|EBGLYSS|ZS|EBGLYSS AD|PROD_SK|US_708127_420004|BMBU_IMM|Y
SUGG_ENGAGEMENT|US_708127_420004|ZS|EBGLYSS AD|PROD_IND_SK|US_708127_420004|BMBU_IMM|Y
FIA_METRICS|EBGLYSS AD|PROD_IND_SK|US_708127_420004|||BMBU_IMM|Y
FIA_METRICS|EBGLYSS|PROD|US_708127|||BMBU_IMM|Y
CALL_ACTIVITY_FIA|ATOPIC DERMATITIS|ZS|420004|PROD_SK||BMBU_IMM|Y
